id,content,details,link,start,end,group,type,programme
1,Programme Introduction,"Programme overview and key information, staff and student intros",,2021-01-20 14:00,2021-01-20 16:00,,range,INB112
2,Programme Session,"IT setup, Mini challenges",,2021-01-26 14:00,2021-01-26 16:30,,range,INB112
3,Project Introduction,Master’s Project Overview & topic discussion,,2021-01-27 14:00,2021-01-27 16:30,,range,INB112
4,Social Session,TBA,,2021-02-02 14:00,2021-02-02 16:30,,range,INB112
5,DSAI Insight Talk,Choose Your Own Career – Mango Solutions,,2021-02-03 13:00,2021-02-03 14:30,,range,INB112
6,Programme Session,Mini-Challenge Follow up,,2021-02-03 15:00,2021-02-03 16:30,,range,INB112
7,Programme Introduction,"Programme overview and key information, staff and student intros",,2021-01-19 14:00,2021-01-19 16:00,,range,G56A12
8,Project Introduction,Master’s Project Overview & topic discussion,,2021-01-27 14:00,2021-01-27 16:30,,range,G56A12
9,Programme Session,"IT setup, Mini challenges",,2021-01-26 10:00,2021-01-26 12:30,,range,G56A12
10,Social Session,TBA,,2021-02-02 15:30,2021-02-02 17:00,,range,G56A12
11,Programme Session,Mini-Challenge Follow up,,2021-02-03 11:30,2021-02-03 12:00,,range,G56A12
12,,,,,,,,
13,,,,,,,,
14,,,,,,,,
15,,,,,,,,
16,,,,,,,,
17,,,,,,,,
18,,,,,,,,
19,,,,,,,,
20,,,,,,,,
21,,,,,,,,
22,,,,,,,,
23,,,,,,,,
24,,,,,,,,
25,,,,,,,,
26,,,,,,,,
27,,,,,,,,
28,,,,,,,,
29,,,,,,,,
30,,,,,,,,
